,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,date,year
0,2.3808043e-06,4.882361e-05,0.44109693,5.942214e-06,0.003741377,0.14019229,0.4148711,3.594081e-05,2.8217262e-06,2.4276262e-06,1982-12-14,1982
1,1.2802525e-05,0.00026242578,0.17850237,3.1953634e-05,0.023016999,0.6119599,0.18599209,0.00019326199,1.5173537e-05,1.3054306e-05,1982-12-31,1982
2,3.5588605e-06,0.004144996,0.010352321,8.882507e-06,0.049130023,0.44978014,0.48651853,5.372432e-05,4.217957e-06,3.628851e-06,1983-01-21,1983
3,6.0708535e-06,0.0001245839,0.054904528,1.5152153e-05,0.10879908,0.8165174,0.01952816,9.164756e-05,7.195168e-06,6.1902456e-06,1983-01-30,1983
4,7.778524e-06,0.00015951779,0.7414622,1.9414303e-05,0.08706063,0.0783428,0.092813134,0.000117428965,9.219098e-06,7.9315005e-06,1983-05-09,1983
5,7.787201e-06,0.00015957169,0.090766475,1.943596e-05,0.07803591,0.78192645,0.04894961,0.00011755288,9.229381e-06,7.940348e-06,1983-05-15,1983
6,2.0189377e-06,4.1417028e-05,0.2809289,5.0390368e-06,0.13562298,0.2723581,0.3110066,3.0477593e-05,2.3928426e-06,2.0586433e-06,1983-05-25,1983
7,6.969937e-06,0.00014301953,0.530717,1.7396163e-05,0.108087145,0.10083291,0.2023661,0.0578141,8.260761e-06,7.1070112e-06,1983-06-14,1983
8,7.945964e-06,0.00016292461,0.008724157,1.9832216e-05,0.80494833,0.16616595,0.019833373,0.00011995729,9.4175475e-06,8.102234e-06,1983-06-24,1983
9,1.2377848e-05,0.00025452249,0.0036169735,3.0893687e-05,0.0040489635,0.6106564,0.38116574,0.0001868548,1.46702105e-05,1.2621276e-05,1983-06-25,1983
10,5.340506e-06,0.00010962674,0.00092596037,1.3329291e-05,0.005994536,0.28480756,0.70805126,8.061828e-05,6.3295615e-06,5.4455354e-06,1983-07-04,1983
11,1.00895995e-05,0.29337797,0.27656335,2.5182482e-05,0.278226,0.12721084,0.024412088,0.00015231119,1.1958181e-05,1.0288027e-05,1983-09-28,1983
12,9.7363e-06,0.00019955717,0.25398442,2.4300687e-05,0.007831121,0.37349752,0.36428487,0.00014697283,1.1539451e-05,9.9277795e-06,1983-11-21,1983
13,6.080061e-06,0.00012495082,0.11666511,1.5175135e-05,0.008893504,0.4606428,0.395573,0.01806597,7.206081e-06,6.1996348e-06,1983-12-12,1983
14,1.4091859e-05,0.00028911422,0.0027372423,3.5171663e-05,0.17981511,0.33798212,0.47888336,0.00021272902,1.6701655e-05,1.4368997e-05,1983-12-20,1983
15,1.1414918e-05,0.0002339788,0.32832852,2.8490325e-05,0.0013762407,0.43633714,0.23348679,0.0001723139,1.35289465e-05,1.1639409e-05,1983-12-31,1983
16,2.434736e-06,4.9910082e-05,0.33059856,6.0768216e-06,0.14591855,0.41807368,0.1053087,3.6754285e-05,2.8856462e-06,2.4826188e-06,1984-02-12,1984
17,3.1360876e-06,6.429906e-05,0.1501188,7.827315e-06,0.00067347323,0.3581146,0.4909636,4.734158e-05,3.7168872e-06,3.1977636e-06,1984-02-15,1984
18,1.1599526e-05,0.00023787523,0.09504936,2.8951086e-05,0.11859932,0.25046495,0.53540725,0.00017510747,1.3747745e-05,1.1827648e-05,1984-03-11,1984
19,6.2358836e-06,0.059942815,0.5161596,1.556405e-05,0.24100435,0.1800746,0.002688923,9.415294e-05,7.3907613e-06,6.3585217e-06,1984-04-28,1984
