Topic 0+"0.000*""wiesel"" + 0.000*""elie"" + 0.000*""stehen"" + 0.000*""politik"" + 0.000*""neu"" + 0.000*""wichtig"" + 0.000*""land"" + 0.000*""naumann"" + 0.000*""möglichkeit"" + 0.000*""frage"" + 0.000*""stiftung"" + 0.000*""erinnern"" + 0.000*""bundesregierung"" + 0.000*""arbeitnehmer"" + 0.000*""auschwitz"" + 0.000*""lassen"" + 0.000*""geben"" + 0.000*""kultur"" + 0.000*""gewerkschaft"" + 0.000*""kulturell"" + 0.000*""deutsch"" + 0.000*""rd"" + 0.000*""arbeitslose"" + 0.000*""gesetzesnovelle"" + 0.000*""höchstqualifizierte"" + 0.000*""kohlendioxydemission"" + 0.000*""identitätsmerkmal"" + 0.000*""häuseransammlung"" + 0.000*""integrationserstberatung"" + 0.000*""haushaltsnotlage"""
Topic 1+"0.019*""film"" + 0.017*""deutsch"" + 0.015*""digital"" + 0.012*""kultur"" + 0.011*""medium"" + 0.010*""internet"" + 0.007*""kulturell"" + 0.006*""kino"" + 0.006*""syrien"" + 0.006*""neu"" + 0.006*""digitalisierung"" + 0.006*""information"" + 0.006*""rechtlich"" + 0.005*""angebot"" + 0.005*""vielfalt"" + 0.004*""zeitung"" + 0.004*""kreativ"" + 0.004*""urheberrecht"" + 0.004*""kulturgut"" + 0.004*""initiative"" + 0.004*""schutz"" + 0.004*""privat"" + 0.004*""künstler"" + 0.004*""rundfunk"" + 0.004*""eu"" + 0.004*""welle"" + 0.003*""inhalt"" + 0.003*""kommission"" + 0.003*""wichtig"" + 0.003*""netz"""
Topic 2+"0.016*""sagen"" + 0.014*""jahr"" + 0.011*""deutschland"" + 0.011*""geben"" + 0.010*""land"" + 0.008*""mensch"" + 0.008*""gehen"" + 0.007*""herr"" + 0.007*""gut"" + 0.007*""wissen"" + 0.006*""kommen"" + 0.006*""neu"" + 0.006*""tun"" + 0.006*""glauben"" + 0.006*""frage"" + 0.006*""groß"" + 0.006*""prozent"" + 0.006*""unternehmen"" + 0.005*""bereich"" + 0.005*""schaffen"" + 0.005*""brauchen"" + 0.004*""beispiel"" + 0.004*""deutsch"" + 0.004*""thema"" + 0.004*""zukunft"" + 0.004*""sehen"" + 0.004*""heißen"" + 0.004*""sprechen"" + 0.004*""wirtschaft"" + 0.004*""bundesregierung"""
Topic 3+"0.007*""ankauf"" + 0.006*""nationalgalerie"" + 0.005*""gemälde"" + 0.005*""leihgabe"" + 0.004*""mario"" + 0.004*""british"" + 0.004*""museumslandschaft"" + 0.004*""baukultur"" + 0.003*""bauhaus"" + 0.003*""spk"" + 0.003*""kulturbetrieb"" + 0.003*""kulturwirtschaft"" + 0.003*""nofretete"" + 0.002*""berggruen"" + 0.002*""parzinger"" + 0.002*""biennale"" + 0.002*""porträt"" + 0.002*""kunstausstellung"" + 0.002*""wiedereröffnung"" + 0.002*""chipperfield"" + 0.002*""flick"" + 0.001*""adorf"" + 0.001*""taut"" + 0.001*""weltkulturerb"" + 0.001*""pavillon"" + 0.001*""juwel"" + 0.001*""areal"" + 0.001*""schenkung"" + 0.001*""janssen"" + 0.001*""stüler"""
Topic 4+"0.008*""jahr"" + 0.008*""kultur"" + 0.008*""deutsch"" + 0.008*""kunst"" + 0.006*""geben"" + 0.006*""herr"" + 0.006*""kulturell"" + 0.006*""leben"" + 0.006*""mensch"" + 0.006*""groß"" + 0.005*""gesellschaft"" + 0.005*""zeit"" + 0.005*""museum"" + 0.005*""deutschland"" + 0.004*""frau"" + 0.004*""gehen"" + 0.004*""welt"" + 0.004*""sagen"" + 0.004*""finden"" + 0.004*""stiftung"" + 0.004*""ausstellung"" + 0.004*""stehen"" + 0.004*""sehen"" + 0.004*""kommen"" + 0.004*""sinn"" + 0.004*""gut"" + 0.003*""neu"" + 0.003*""arbeit"" + 0.003*""eigen"" + 0.003*""engagement"""
Topic 5+"0.013*""deutschland"" + 0.013*""deutsch"" + 0.012*""jahr"" + 0.010*""freiheit"" + 0.010*""mensch"" + 0.010*""geschichte"" + 0.008*""europa"" + 0.007*""leben"" + 0.007*""deutsche"" + 0.006*""herr"" + 0.006*""land"" + 0.004*""zukunft"" + 0.004*""ddr"" + 0.004*""tag"" + 0.004*""neu"" + 0.004*""groß"" + 0.004*""einheit"" + 0.004*""erinnerung"" + 0.004*""krieg"" + 0.004*""erinnern"" + 0.004*""stehen"" + 0.004*""frieden"" + 0.004*""bleiben"" + 0.004*""zeit"" + 0.004*""volk"" + 0.003*""demokratie"" + 0.003*""jung"" + 0.003*""gemeinsam"" + 0.003*""dame"" + 0.003*""berlin"""
Topic 6+"0.020*""europäisch"" + 0.015*""europa"" + 0.011*""deutschland"" + 0.010*""land"" + 0.008*""union"" + 0.007*""jahr"" + 0.006*""groß"" + 0.006*""welt"" + 0.006*""staat"" + 0.006*""geben"" + 0.005*""sagen"" + 0.005*""gemeinsam"" + 0.005*""international"" + 0.005*""gehen"" + 0.005*""herr"" + 0.005*""mensch"" + 0.005*""frage"" + 0.005*""deutsch"" + 0.004*""entwicklung"" + 0.004*""neu"" + 0.004*""politisch"" + 0.004*""gut"" + 0.004*""zusammenarbeit"" + 0.004*""sicherheit"" + 0.004*""wissen"" + 0.004*""herausforderung"" + 0.003*""stehen"" + 0.003*""brauchen"" + 0.003*""wichtig"" + 0.003*""wirtschaftlich"""
Topic 7+"0.029*""bund"" + 0.024*""berlin"" + 0.022*""stadt"" + 0.020*""euro"" + 0.012*""million"" + 0.011*""museum"" + 0.010*""theater"" + 0.009*""stiftung"" + 0.008*""land"" + 0.008*""musik"" + 0.008*""kultur"" + 0.008*""neu"" + 0.007*""kulturell"" + 0.007*""berliner"" + 0.006*""sachsen"" + 0.006*""kommune"" + 0.005*""anhalt"" + 0.005*""jahr"" + 0.005*""bau"" + 0.005*""gebäude"" + 0.004*""haus"" + 0.004*""orchester"" + 0.004*""projekt"" + 0.004*""ort"" + 0.004*""kulturbesitz"" + 0.004*""preußischer"" + 0.004*""hauptstadt"" + 0.004*""verfügung"" + 0.004*""museumsinsel"" + 0.004*""sanierung"""
Topic 8+"0.004*""feuerwehr"" + 0.001*""brandschutz"" + 0.000*""verstromung"" + 0.000*""aufwandsentschädigung"" + 0.000*""bränd"" + 0.000*""egks"" + 0.000*""löschen"" + 0.000*""vorbeugend"" + 0.000*""feuerwehrtag"" + 0.000*""feuerwehrleute"" + 0.000*""abführen"" + 0.000*""sozialversicherungsträger"" + 0.000*""feuerwehrverband"" + 0.000*""brandbekämpfung"" + 0.000*""rettungssystem"" + 0.000*""fieldservice"" + 0.000*""highschool"" + 0.000*""braunkohleverstromung"" + 0.000*""sirene"" + 0.000*""mexico"" + 0.000*""ancona"" + 0.000*""gastfamilie"" + 0.000*""ornella"" + 0.000*""trail"" + 0.000*""afs"" + 0.000*""jesse"" + 0.000*""kohlebergbau"" + 0.000*""verhängt"" + 0.000*""klimaverträglich"" + 0.000*""bevölkerungsschutz"""
Topic 9+"0.000*""wissenschaft"" + 0.000*""deutschland"" + 0.000*""politik"" + 0.000*""land"" + 0.000*""brauchen"" + 0.000*""wissenschaftler"" + 0.000*""teil"" + 0.000*""beispiel"" + 0.000*""staat"" + 0.000*""sozial"" + 0.000*""politiker"" + 0.000*""mensch"" + 0.000*""leben"" + 0.000*""beitragen"" + 0.000*""tragen"" + 0.000*""eigen"" + 0.000*""bundesrepublik"" + 0.000*""menschenrecht"" + 0.000*""stellen"" + 0.000*""chance"" + 0.000*""eisenach"" + 0.000*""verantwortung"" + 0.000*""dame"" + 0.000*""denken"" + 0.000*""deutsch"" + 0.000*""dialog"" + 0.000*""hilfe"" + 0.000*""kommen"" + 0.000*""jahr"" + 0.000*""wissenschaftlich"""
